dimension,sv_20k,sv_50k_original,sv_50k_aligned,absolute_change,relative_change_%,energy_20k_%,energy_50k_aligned_%,status
1,4.5938034,7.406698,7.406699,2.8128958,61.232393980026245,10.450211469601777,17.8404232979668,changed
2,3.1411524,3.2771704,3.2771714,0.13601899,4.33022566139698,4.886054180065692,3.4926417976624267,stable
3,2.6856184,3.04854,3.0485399,0.36292148,13.513515889644623,3.5716498492339523,3.022313440005738,changed
4,2.4199085,2.8833978,2.8833978,0.4634893,19.15317475795746,2.8998675796637006,2.703739667292744,changed
5,2.319929,2.8645065,2.8645062,0.54457736,23.47388118505478,2.6651988205720807,2.668426768285304,changed
6,2.212756,2.7943022,2.7943022,0.5815463,26.281538605690002,2.4246401373337694,2.539232658054371,changed
7,2.1712153,2.6830943,2.6830947,0.51187944,23.575711250305176,2.3344579085305326,2.341142007333554,changed
8,2.1536684,2.592496,2.5924962,0.43882775,20.375826954841614,2.2968780701005316,2.1857072074678054,changed
9,2.1308255,2.5536194,2.553619,0.4227934,19.841764867305756,2.2484127891294277,2.12064470579443,changed
10,2.0842528,2.4707036,2.4707036,0.38645077,18.541453778743744,2.151201388845326,1.9851669608548523,changed
11,2.0659294,2.4358137,2.4358137,0.36988425,17.90401190519333,2.1135436700694727,1.9294959314501803,changed
12,2.0090544,2.3775976,2.377597,0.36854267,18.344086408615112,1.998773904316178,1.838367206475861,changed
13,1.9943837,2.3491611,2.3491602,0.3547765,17.788778245449066,1.9696891699722372,1.7946551455755917,changed
14,1.9588628,2.3225708,2.3225715,0.36370873,18.567341566085815,1.9001518003686755,1.754259887563897,changed
15,1.888607,2.2697005,2.2697,0.38109303,20.178523659706116,1.7662959361889095,1.6753003394467534,changed
16,1.8662957,2.2474756,2.2474744,0.38117874,20.42434811592102,1.724809663766141,1.6426508450084427,changed
17,1.8427429,2.2110598,2.2110598,0.3683169,19.987426698207855,1.6815499428550227,1.5898520915359344,changed
18,1.8262354,2.1878688,2.1878684,0.36163294,19.802099466323853,1.6515578419361945,1.5566755926710827,changed
19,1.7981831,2.1362438,2.1362438,0.33806074,18.800128996372223,1.6012092249320269,1.4840802333036403,changed
20,1.7842187,2.1225889,2.1225889,0.3383702,18.96461546421051,1.5764362997453294,1.4651682816510299,changed
21,1.7189947,2.073948,2.0739484,0.35495365,20.648908615112305,1.4632864867600495,1.3987871330867092,changed
22,1.6875278,2.046833,2.0468323,0.35930455,21.29177153110504,1.4102046023370258,1.362449064881645,changed
23,1.6538621,2.0371196,2.0371194,0.38325727,23.17347228527069,1.3544995588243778,1.3495491513249425,changed
24,1.6443698,1.9602239,1.9602236,0.31585371,19.208191335201263,1.338995981589834,1.249588297454673,changed
25,1.6040003,1.9463987,1.9463973,0.34239697,21.34644091129303,1.2740579280519435,1.232022759925508,changed
26,1.588313,1.9300044,1.9300044,0.34169137,21.512849628925323,1.2492588654244363,1.2113574688012714,changed
27,1.5563681,1.8947331,1.8947324,0.33836424,21.740630269050598,1.1995128825455867,1.167485472165845,changed
28,1.5524349,1.8828286,1.8828278,0.33039284,21.28223478794098,1.1934578212348919,1.1528609449663205,changed
29,1.5182805,1.8515809,1.8515804,0.33329988,21.95245772600174,1.1415220372549308,1.1149127524060014,changed
30,1.5066682,1.8418809,1.8418806,0.33521235,22.248584032058716,1.1241273595756645,1.1032620262741095,changed
31,1.4771596,1.8010155,1.8010148,0.32385516,21.924181282520294,1.0805257525080578,1.0548490015159235,changed
32,1.4200962,1.7839983,1.7839977,0.3639015,25.625130534172058,0.9986556734640386,1.0350094146139317,changed
33,1.4095262,1.7349817,1.7349811,0.32545483,23.089660704135895,0.9838447933915334,0.978915529587765,changed
34,1.3808781,1.7065157,1.7065156,0.32563746,23.581911623477936,0.9442585943121147,0.9470572698745403,changed
35,1.3667536,1.7017573,1.7017572,0.3350036,24.510900676250458,0.9250404144288316,0.9417831839980535,changed
36,1.3559595,1.6606594,1.6606593,0.30469978,22.47115522623062,0.9104869524160142,0.8968438466421631,changed
37,1.3387436,1.6391107,1.6391107,0.30036712,22.436493635177612,0.8875136930143277,0.8737200547841675,changed
38,1.3286453,1.6086954,1.6086954,0.28005004,21.07786238193512,0.8741750579185326,0.8415954431055275,changed
39,1.3084201,1.5957968,1.5957967,0.28737664,21.963638067245483,0.8477633885269547,0.8281535531961983,changed
40,1.2994972,1.566745,1.566745,0.2672478,20.565475523471832,0.8362401118569099,0.7982747646906353,changed
41,1.2905267,1.5488694,1.5488694,0.25834262,20.018385350704193,0.8247347400049158,0.7801629565664282,changed
42,1.2552617,1.5252805,1.5252799,0.27001822,21.510910987854004,0.7802769832292996,0.7565799443312546,changed
43,1.2471826,1.5031548,1.5031542,0.25597155,20.523983240127563,0.7702653464763745,0.7347892387937227,changed
44,1.2253107,1.4796844,1.4796839,0.2543732,20.7598939538002,0.7434858512880753,0.712022347591926,changed
45,1.2011186,1.4381596,1.4381591,0.23704052,19.734980165958405,0.7144174343807072,0.6726197482062601,changed
46,1.1945933,1.4357817,1.435781,0.24118769,20.189940929412842,0.7066761346501265,0.6703971309306609,changed
47,1.1801217,1.4257634,1.4257628,0.24564111,20.814897119998932,0.6896580839806097,0.661074314957961,changed
48,1.1644105,1.4127853,1.4127846,0.2483741,21.330459415912628,0.671417216364774,0.6490940556470541,changed
49,1.1472175,1.3879555,1.3879554,0.24073792,20.984505116939545,0.6517361394430684,0.6264793793615552,changed
50,1.1255282,1.3425758,1.3425754,0.21704721,19.28403079509735,0.6273256453873496,0.5861828830413992,changed
51,1.1180122,1.306992,1.3069912,0.18897903,16.90312772989273,0.6189753379353147,0.5555217686307833,changed
52,1.0964814,1.2724372,1.2724373,0.17595589,16.047321259975433,0.5953643689891385,0.5265365797839558,changed
53,1.0949643,1.2665943,1.2665939,0.17162967,15.674453973770142,0.593717924367777,0.5217116668796394,changed
