dimension,sv_20k,sv_50k_original,sv_50k_aligned,absolute_change,relative_change_%,energy_20k_%,energy_50k_%,energy_50k_aligned_%,energy_change_%,cumulative_energy_20k_%,cumulative_energy_50k_aligned_%,status,is_optimal_dim,alignment_effect
1,11.3095045,16.773464,16.20411,4.8946047,43.27868368588605,32.39850706744336,39.19008878061515,39.368271419809076,6.969764352365715,32.39850699901581,39.368271827697754,changed,True,-0.569355
2,6.847232,10.349417,8.955293,2.1080608,30.787052028403927,11.875937709387738,14.919781551394875,12.024183480067016,0.1482457706792779,44.27444338798523,51.39245390892029,changed,True,-1.394124
3,4.059865,4.9168873,4.7734127,0.7135477,17.575651085981544,4.175043710496737,3.36752803463309,3.4162842085602536,-0.758759501936483,48.44948649406433,54.808735847473145,changed,True,-0.14347458
4,3.5594206,4.313704,4.319276,0.7598553,21.347723655686156,3.2091975926837693,2.591978531197232,2.7971638545294826,-0.4120337381542867,51.65868401527405,57.60590434074402,changed,True,0.005571842
5,2.9783144,4.0240555,3.991713,1.0133986,34.02591235397631,2.2468750649489078,2.2555820753061386,2.3889917568933527,0.14211669194444498,53.905558586120605,59.99489426612854,changed,True,-0.032342434
6,2.9487455,3.9626474,3.9198084,0.9710629,32.93139072821676,2.2024822707194915,2.1872659066876676,2.3036988205578828,0.10121654983839123,56.10804557800293,62.298595905303955,changed,True,-0.04283905
7,2.7264774,3.773049,3.5429091,0.81643176,29.94456383094486,1.8829623721892939,1.9829676646293426,1.8819845550163798,-0.0009778171729140084,57.99100995063782,64.18058276176453,changed,True,-0.23013997
8,2.70861,3.3681545,3.359559,0.650949,24.032584513458374,1.8583641365753953,1.5802097280905745,1.6922346542438051,-0.1661294823315902,59.849369525909424,65.87281227111816,changed,True,-0.008595467
9,2.6047833,3.2688313,3.2657552,0.6609719,25.375311673730284,1.7186246583615667,1.4883864859080416,1.5990545225051955,-0.11957013585637122,61.56799793243408,67.47186779975891,changed,True,-0.0030760765
10,2.5536258,3.233469,3.2123337,0.65870786,25.795002988061622,1.6517806134690827,1.4563579160026237,1.5471674723184239,-0.10461314115065878,63.21977972984314,69.01903748512268,changed,True,-0.02113533
11,2.5191197,3.1708658,3.152061,0.63294125,25.125492689960755,1.6074425645279122,1.4005107012150777,1.489653451798157,-0.11778911272975523,64.82722163200378,70.5086886882782,changed,True,-0.018804789
12,2.4730213,3.148555,3.1305323,0.657511,26.587357097234747,1.5491502628227574,1.380871589271391,1.469374140858852,-0.07977612196390527,66.3763701915741,71.97806239128113,changed,True,-0.018022776
13,2.427151,3.0834465,3.0329602,0.6058092,24.95968402903429,1.4922150685870619,1.3243523629250062,1.3792069599187131,-0.11300810866834876,67.86857843399048,73.35727214813232,changed,True,-0.050486326
14,2.379545,2.9873383,2.9835982,0.60405326,25.385242373214727,1.4342527024378513,1.2430812908444262,1.334678628838533,-0.09957407359931825,69.30283308029175,74.69195127487183,changed,True,-0.0037400723
15,2.3254242,2.9224281,2.9228373,0.59741306,25.690498296128155,1.3697528585807852,1.1896477687892337,1.2808707065891713,-0.08888215199161387,70.67258358001709,75.9728193283081,changed,True,0.00040912628
16,2.3068633,2.8907063,2.8516529,0.54478955,23.616030944999117,1.3479741531737734,1.163961600728359,1.219240379085978,-0.1287337740877954,72.02056050300598,77.19205617904663,changed,True,-0.03905344
17,2.2708874,2.7740803,2.773876,0.5029886,22.149428563973874,1.3062582121450161,1.071935771778619,1.1536394400135273,-0.1526187721314889,73.3268141746521,78.34569811820984,changed,True,-0.00020432472
18,2.2055964,2.7386315,2.7376516,0.53205514,24.122959585075996,1.2322248109277545,1.0447151894792803,1.1237051618598433,-0.10851964906791123,74.55903887748718,79.46940064430237,changed,True,-0.0009799004
19,2.1766574,2.6338615,2.6222646,0.4456072,20.472086121911133,1.2001015942286064,0.9663102737943858,1.0309771886956616,-0.16912440553294483,75.75913667678833,80.5003821849823,changed,True,-0.011596918
20,2.0977218,2.5691702,2.5690327,0.47131085,22.46774813232876,1.1146374521701758,0.9194253616420724,0.9895443835403062,-0.12509306862986969,76.873779296875,81.48992657661438,changed,True,-0.00013756752
21,2.050224,2.5298603,2.5308096,0.48058558,23.440636713886793,1.064732464262613,0.8915049941415679,0.9603178126995555,-0.10441465156305751,77.93851494789124,82.45023488998413,changed,True,0.0009493828
22,2.0415769,2.459933,2.4567857,0.41520882,20.33765292740714,1.0557699880604932,0.8429023937466933,0.9049624680299722,-0.150807520030521,78.99428606033325,83.35519433021545,changed,True,-0.0031473637
23,1.9701209,2.452364,2.4436445,0.47352362,24.035256675119182,0.9831586432854198,0.8377232481529551,0.8953072123698305,-0.08785143091558933,79.97744083404541,84.25049781799316,changed,True,-0.008719444
24,1.9345464,2.3803458,2.3804824,0.44593608,23.05119665084847,0.947973335535416,0.7892431633379209,0.8496224643239662,-0.09835087121144981,80.92542290687561,85.10013818740845,changed,True,0.00013661385
25,1.8954895,2.2891595,2.2854998,0.39001036,20.575707029339537,0.9100821307400746,0.7299327274642472,0.7831742568615784,-0.12690787387849622,81.83550834655762,85.88331341743469,changed,True,-0.0036597252
26,1.856469,2.2665272,2.248241,0.3917719,21.10306744342232,0.8729980261894569,0.7155707441772468,0.7578473408305694,-0.1151506853588875,82.70850777626038,86.6411566734314,changed,True,-0.018286228
27,1.8181492,2.2094452,2.2092428,0.3910936,21.510534435508422,0.8373304498958739,0.6799816590329915,0.7317840323883478,-0.10554641750752614,83.54583382606506,87.3729407787323,changed,True,-0.00020241737
28,1.7954172,2.0813158,2.081784,0.28636682,15.949876272686433,0.8165233333487152,0.6034018797662228,0.6497815279398289,-0.16674180540888628,84.36235785484314,88.02271485328674,changed,True,0.0004682541
29,1.7533805,2.0793717,2.0801158,0.32673526,18.634589079941286,0.7787359157054825,0.6022751841357885,0.648740554582956,-0.12999536112252652,85.14109253883362,88.67145776748657,changed,True,0.0007441044
30,1.6996762,2.0395706,2.0368726,0.33719647,19.83886566202889,0.7317625946772583,0.5794396212846556,0.6220478124773527,-0.1097147821999056,85.87285280227661,89.29350972175598,changed,True,-0.0026979446
31,1.6725607,2.0040252,2.0029418,0.33038116,19.753014441115095,0.7086007601013801,0.5594188301489713,0.6014959460341508,-0.10710481406722927,86.58145070075989,89.89500403404236,changed,True,-0.001083374
32,1.6460218,1.9933009,1.9901938,0.344172,20.909321606930035,0.6862921482753579,0.5534475217764303,0.5938637019739043,-0.09242844630145364,87.26775050163269,90.48886895179749,changed,True,-0.003107071
33,1.5993927,1.9013313,1.9014472,0.30205452,18.88557659236941,0.6479597590602303,0.5035543045895448,0.5420814602419814,-0.10587829881824884,87.91570663452148,91.03094935417175,changed,True,0.00011587143
34,1.5832525,1.8597469,1.8586147,0.27536213,17.392180047744656,0.6349481088491358,0.481768518482476,0.5179343939373373,-0.11701371491179846,88.55065107345581,91.54888391494751,changed,True,-0.0011322498
35,1.5463167,1.819951,1.8058019,0.25948513,16.78085209365057,0.6056681813130542,0.4613708300105118,0.48891821808933505,-0.11674996322371917,89.15631771087646,92.0378029346466,changed,True,-0.014149189
36,1.5153977,1.8003441,1.7940427,0.27864504,18.387585284810292,0.5816892947406436,0.45148337113205966,0.4825713986090456,-0.099117896131598,89.7379994392395,92.52037405967712,changed,True,-0.006301403
37,1.4932684,1.7322739,1.7216856,0.22841728,15.29646524453657,0.5648245625719324,0.4179880416503764,0.4444303842182233,-0.12039417835370908,90.30283093452454,92.96479821205139,changed,True,-0.010588288
38,1.457726,1.6751887,1.6748742,0.21714818,14.896364920587768,0.5382569460849816,0.3908932438209926,0.42059141385331794,-0.1176655322316637,90.84108471870422,93.38538646697998,changed,True,-0.0003144741
39,1.4449838,1.6487131,1.6474593,0.20247543,14.012297090381834,0.5288881328537914,0.37863512388336756,0.4069353293980204,-0.12195280345577103,91.3699746131897,93.79231929779053,changed,True,-0.0012538433
40,1.3951176,1.565332,1.5703273,0.17520964,12.558771845350734,0.49301428429286315,0.34130580328612903,0.36972292143508095,-0.1232913628577822,91.86298847198486,94.16206479072571,changed,True,0.004995227
41,1.340996,1.5321634,1.5300803,0.18908429,14.10028722218169,0.4555046600870897,0.3269948193665255,0.3510140350811869,-0.10449062500590278,92.31849312782288,94.51307654380798,changed,True,-0.0020830631
42,1.2888004,1.5094125,1.5117393,0.2229389,17.298171411171875,0.42073548170300007,0.31735592796055645,0.3426492649416295,-0.07808621676137056,92.7392303943634,94.8557198047638,changed,True,0.002326727
43,1.2667527,1.4618626,1.4631618,0.1964091,15.504928717090921,0.40646348177099206,0.2976759883932717,0.3209820511241419,-0.08548143064685015,93.1456983089447,95.1767086982727,changed,True,0.001299262
44,1.2382799,1.415918,1.4169884,0.17870843,14.431989771102863,0.3883966864346804,0.27925883122074363,0.30104304449911024,-0.08735364193557016,93.5340940952301,95.47775387763977,changed,True,0.0010703802
45,1.2330486,1.3809468,1.3809983,0.1479497,11.998691745515377,0.3851218876142612,0.26563456325885704,0.2859448526009717,-0.0991770350132895,93.91921758651733,95.76370120048523,changed,True,5.1498413e-05
46,1.1607841,1.3473499,1.3488834,0.18809927,16.20450012867002,0.3413035160971688,0.25286661352902023,0.27280029658423605,-0.06850321951293276,94.2605197429657,96.03649377822876,changed,True,0.0015335083
47,1.1582446,1.3004799,1.2976018,0.13935721,12.031759786364743,0.3398117702440218,0.23557977137582897,0.2524520580586495,-0.0873597121853723,94.6003258228302,96.28894925117493,changed,True,-0.0028780699
48,1.1371948,1.2850164,1.2708685,0.13367379,11.75469608777872,0.327572576220492,0.23001071476706011,0.24215714183263856,-0.08541543438785346,94.92790699005127,96.53109908103943,changed,True,-0.014147878
