dim_idx,singular_value_1,singular_value_2,best_match_idx,angle_to_best_match,similarity,energy_ratio_1,energy_ratio_2,energy_ratio_change
0,3.9321923,3.7252688,0,27.25955000489442,0.8889408,0.11581473428228747,0.10689929364424645,-0.00891544063804102
1,2.9432552,2.9460657,1,18.137498822204737,0.9503122,0.06488587244277648,0.06685662372724493,0.0019707512844684555
2,2.8338256,2.3267581,2,23.201786794935877,0.91912305,0.06015068085260749,0.04170249913558305,-0.01844818171702444
3,1.9842705,1.9432431,3,52.05096339341638,0.6149603,0.029491444424058856,0.029088001567945408,-0.0004034428561134479
4,1.9326425,1.8181641,4,55.95257357902626,0.55987895,0.02797675540911267,0.025463949085143097,-0.0025128063239695728
5,1.8926811,1.7802594,6,46.46315961632177,0.68882084,0.02683176325221784,0.024413281381430507,-0.0024184818707873312
6,1.8157951,1.7297703,8,60.08028498567579,0.498786,0.024696077250097006,0.023048171098723164,-0.0016479061513738416
7,1.792422,1.7838359,5,57.35702733675416,0.5394025,0.0240643907742459,0.024511471821241367,0.000447081046995465
8,1.7589953,1.7297703,8,58.02487530155976,0.529551,0.023175209457014356,0.023048171098723164,-0.0001270383582911913
9,1.7496744,1.6538783,11,62.68536100665168,0.45887658,0.022930250930092613,0.021070105501018954,-0.001860145429073659
