dim_idx,singular_value_1,singular_value_2,best_match_idx,angle_to_best_match,similarity,energy_ratio_1,energy_ratio_2,energy_ratio_change
0,13.619065,13.090694,0,50.500569580186784,0.63607055,0.36153183613130363,0.4016848944461869,0.04015305831488325
1,8.305994,6.298667,1,37.85778445165637,0.7895365,0.1344730245341114,0.09299453350667697,-0.04147849102743442
2,4.4285455,3.0815198,2,32.2084427647403,0.84611464,0.0382273471660922,0.022258201337697524,-0.015969145828394673
3,3.7704287,0.5732895,75,76.96734220584769,0.2255064,0.027709800479468704,0.0007703855447341977,-0.026939414934734507
4,3.3947847,2.3554492,12,64.52958724425773,0.43004495,0.022463447708893334,0.013004917869619286,-0.009458529839274048
5,3.3038828,2.5813441,6,65.489240054204,0.41486412,0.02127655053358621,0.015618953817700041,-0.005657596715886171
6,3.1269221,2.5312448,7,69.95861413278448,0.3426988,0.019058384115512205,0.015018564038698974,-0.004039820076813231
7,2.992264,2.501789,8,57.909327198105906,0.53126067,0.01745226376140572,0.014671060873290868,-0.0027812028881148507
8,2.8837793,2.397578,11,60.43512650611164,0.4934087,0.01620973741900701,0.013474281605371648,-0.0027354558136353634
9,2.8105142,2.453213,9,67.04550705187452,0.3899999,0.015396553476941148,0.014106869083853049,-0.0012896843930880995
