dim_idx,singular_value_1,singular_value_2,best_match_idx,angle_to_best_match,similarity,energy_ratio_1,energy_ratio_2,energy_ratio_change
0,14.340639,13.90108,0,44.21534560257431,0.71672386,0.3500393515041885,0.37566496950285994,0.025625617998671413
1,8.656766,7.9175534,1,45.992538901579515,0.69475204,0.1275531556089515,0.12186685703019325,-0.005686298578758256
2,4.673394,3.3407853,3,49.16698927308862,0.65385664,0.03717446165825398,0.021697051940324612,-0.015477409717929366
3,4.1025734,2.8014288,8,62.73048220370921,0.45817673,0.028647885718899774,0.015256776432682426,-0.013391109286217348
4,3.8953054,2.7585766,9,69.43134299333407,0.35132954,0.025826341044570888,0.014793594540537672,-0.011032746504033216
5,3.6522443,3.0765345,4,64.42228702399792,0.43173492,0.022703849740659726,0.018400396759759494,-0.004303452980900232
6,3.4184384,2.8684273,6,68.4508317859116,0.36729953,0.019890027447867865,0.01599525960149817,-0.003894767846369697
7,3.3274355,2.8314135,7,74.9029727006969,0.26045442,0.018845130390789566,0.015585121948155143,-0.003260008442634422
8,3.2251558,2.566042,12,73.02658073435025,0.29192802,0.017704402058754204,0.01280062304210861,-0.004903779016645593
9,3.1460485,2.8684273,6,70.84191150747796,0.32817575,0.01684653918960403,0.01599525960149817,-0.0008512795881058625
