dim_idx,singular_value_1,singular_value_2,best_match_idx,angle_to_best_match,similarity,energy_ratio_1,energy_ratio_2,energy_ratio_change
0,3.8344777,3.76213,0,28.109648745513216,0.88204753,0.11144999087425332,0.10984984850615581,-0.0016001423680975096
1,2.9633632,2.951017,1,17.500060027682476,0.95371664,0.06656368718090327,0.0675888807036791,0.0010251935227758302
2,2.8413682,2.3753884,2,18.26858820961987,0.9495975,0.06119594470807453,0.04379263898712104,-0.017403305720953492
3,1.974082,1.8107942,5,47.72639297291312,0.67267174,0.029539149505581917,0.025448961591813528,-0.004090187913768389
4,1.9403098,1.8325255,4,52.38709439629796,0.6103236,0.028537094317008092,0.026063450435050144,-0.0024736438819579487
5,1.8819264,1.7656822,6,52.24729421177517,0.6122546,0.026845586106706305,0.02419674502514351,-0.0026488410815627937
6,1.8238758,1.7434362,7,64.69433066072492,0.42744732,0.025214950941745966,0.02359087163160742,-0.0016240793101385473
7,1.752015,1.5697681,14,53.83640346999401,0.59009284,0.023267153248973337,0.019125061615547195,-0.004142091633426142
8,1.7400861,1.7189734,8,62.26149078900526,0.46543702,0.022951394496469112,0.022933491143960247,-1.7903352508865517e-05
9,1.7324002,1.6653407,10,57.258171744599295,0.5408545,0.022749091244903343,0.02152474586818803,-0.0012243453767153134
