dim_idx,singular_value_1,singular_value_2,best_match_idx,angle_to_best_match,similarity,energy_ratio_1,energy_ratio_2,energy_ratio_change
0,11.539557,12.479235,0,42.64043240812734,0.73561925,0.31187803856136237,0.37966666373964103,0.06778862517827866
1,6.953535,6.313267,1,39.6799443141163,0.7696231,0.11324467411794001,0.09717060494107184,-0.01607406917686817
2,4.14292,3.0284615,3,39.637473228262266,0.7700962,0.040199401227144924,0.022359941469445276,-0.017839459757699648
3,3.375095,2.5117416,8,66.7673902318497,0.39446497,0.02667954762196725,0.015380713808243317,-0.011298833813723933
4,3.2488608,2.488557,9,61.1555121815269,0.48243394,0.024721151956782195,0.015098082052357862,-0.009623069904424334
5,3.049611,2.605847,5,67.71121495024556,0.37927505,0.02178188212300724,0.016554815592657663,-0.005227066530349576
6,2.9883893,2.6274316,4,61.67678658527787,0.4744449,0.02091610524368886,0.016830205117407935,-0.004085900126280927
7,2.9756324,2.5560775,6,68.07241628689115,0.37343442,0.020737913211520947,0.015928489339335244,-0.004809423872185702
8,2.8430517,2.1060982,20,66.63948080284693,0.3965154,0.018931106225629327,0.010813935741946848,-0.00811717048368248
9,2.7084854,2.1367517,19,66.80541905404621,0.39385498,0.017181436561404327,0.01113101217263364,-0.006050424388770688
