dim_idx,singular_value_1,singular_value_2,best_match_idx,angle_to_best_match,similarity,energy_ratio_1,energy_ratio_2,energy_ratio_change
0,15.289748,14.457796,0,50.45193942546175,0.63672525,0.3885538927416269,0.38245168743248625,-0.006102205309140629
1,7.912314,7.8712816,1,52.84798697435139,0.6039318,0.10405372193029556,0.11336090198266166,0.009307180052366096
2,4.5499544,3.7038324,2,36.16797350261333,0.8072903,0.03440841671654854,0.02510007623753761,-0.00930834047901093
3,4.2402925,2.4960954,16,64.47507113482902,0.43090376,0.029884241665352064,0.011399735031446598,-0.018484506633905468
4,3.9140916,2.8395615,7,60.031897075018755,0.4995178,0.025463175626730485,0.01475281639291913,-0.010710359233811355
5,3.729484,3.3591669,3,67.0906019439659,0.38927504,0.02311788578669426,0.020645982024321195,-0.002471903762373065
6,3.331336,2.3762546,21,69.13752742879984,0.35612604,0.018445374613283935,0.010331379545044666,-0.008113995068239269
7,3.2842932,2.755514,10,62.8227216433975,0.45674518,0.017928106928635695,0.013892410412367186,-0.004035696516268509
8,3.2455225,2.8395615,7,71.68987323875963,0.31416026,0.017507327121906738,0.01475281639291913,-0.002754510728987608
9,3.1215734,2.2846224,23,67.88133050346877,0.37652615,0.01619562506885688,0.00954995364265729,-0.00664567142619959
