dim_idx,singular_value_1,singular_value_2,best_match_idx,angle_to_best_match,similarity,energy_ratio_1,energy_ratio_2,energy_ratio_change
0,13.057602,11.94003,0,47.18825818247269,0.67959166,0.37314185293555063,0.3537154276490422,-0.019426425286508453
1,6.6349783,6.2929425,1,39.91072915855895,0.767045,0.09634432256746875,0.09825410175728479,0.0019097791898160382
2,4.1165323,3.3016713,2,36.00935822875499,0.808921,0.037086015436631696,0.0270464842633141,-0.010039531173317597
3,3.41664,2.181036,18,73.15124726643349,0.28984627,0.025547332921826094,0.01180235913402628,-0.013744973787799814
4,3.2608738,2.4162364,11,65.62337648514044,0.41273284,0.02327100265921813,0.014485116907625654,-0.008785885751592476
5,3.0611658,2.5528398,6,64.82030461556047,0.4254586,0.020507882596479173,0.01616926461829078,-0.004338617978188394
6,2.9437432,2.520275,7,74.33947437361071,0.26993713,0.018964743165315906,0.015759377624694336,-0.00320536554062157
7,2.9008105,2.5528398,6,58.73271348978864,0.51903117,0.018415598000792437,0.01616926461829078,-0.0022463333825016585
8,2.820874,2.4587555,9,61.051972512591455,0.48401606,0.01741463927383488,0.014999398576398973,-0.0024152406974359084
9,2.7629297,2.578614,5,66.60468835075878,0.3970728,0.01670655009544104,0.01649741238657044,-0.0002091377088706027
