direction_diversity,sigma_weight,BRC_star_adapted,token_spread,collapse_score,norm_variance,effective_rank,ratio,seed,iter,WRC_star,row_norm_std
0.6839728653430939,0.8868891000747681,0.280281021055071,0.159970074892044,1.2156288941646092,0.786572277545929,69.99194641201899,5,456,15000,0.280281021055071,0.8868891000747681
0.6383955776691437,1.2196767330169678,0.4410405004729867,0.191706046462059,1.23961922187269,1.4876114130020142,67.2967008352159,5,456,34000,0.4410405004729867,1.2196767330169678
0.6340469121932983,1.2697558403015137,0.4646710705189321,0.1965582966804504,1.234000504801341,1.6122798919677734,66.90787602546774,5,456,38000,0.4646710705189321,1.2697558403015137
0.6549615859985352,1.0106106996536257,0.3486995129813977,0.1701257824897766,1.277324995863819,1.0213340520858765,68.91875010593915,5,456,19000,0.34869951298139773,1.0106106996536257
0.6443190574645996,1.074084997177124,0.3820315641590923,0.1761132925748825,1.2881702985702472,1.1536585092544556,68.46346460598156,5,456,22000,0.38203156415909234,1.074084997177124
0.6302280724048615,1.3108083009719849,0.4847001121581193,0.1999881565570831,1.232621753601718,1.7182185649871826,66.49155121133398,5,456,41000,0.48470011215811937,1.3108083009719849
0.6940197646617889,0.8494731187820435,0.2599219847984138,0.1570053100585937,1.190559974299565,0.721604585647583,70.34413224854165,5,456,14000,0.2599219847984138,0.8494731187820435
0.6395314335823059,1.2235890626907349,0.4410653953124992,0.1926600188016891,1.23169733909555,1.497170090675354,67.33261864301473,5,456,35000,0.4410653953124992,1.2235890626907349
0.6345082819461823,1.2778536081314087,0.4670449106572185,0.1974994987249374,1.2285456601449427,1.6329100131988523,66.84900685674332,5,456,39000,0.46704491065721854,1.2778536081314087
0.662155956029892,0.9800511002540588,0.331104427007185,0.1676502525806427,1.2622593878117714,0.960500180721283,69.1858841764702,5,456,18000,0.331104427007185,0.9800511002540588
0.6504442691802979,1.0680978298187256,0.3733597174892225,0.1764200776815414,1.2645815519320525,1.1408329010009766,68.5288856285542,5,456,23000,0.3733597174892225,1.0680978298187256
0.921298325061798,0.0736606568098068,0.0057972170679798,0.0745013654232025,0.45100893478589,0.0054258927702903,72.06416453185165,5,456,1000,0.005797217067979871,0.0736606568098068
0.6331177651882172,1.2925337553024292,0.4742076727150213,0.1986349076032638,1.2285309770255843,1.6706435680389404,66.68975264951669,5,456,40000,0.4742076727150213,1.2925337553024292
0.6374996900558472,1.2393373250961304,0.4492601644727045,0.1939547657966613,1.233183986528413,1.5359569787979126,67.16266800523567,5,456,36000,0.44926016447270456,1.2393373250961304
0.6664610803127289,0.95665842294693,0.3190828168994475,0.1655139178037643,1.2562012660058846,0.9151953458786012,69.38159559947461,5,456,17000,0.31908281689944756,0.95665842294693
0.9247802793979644,0.1560961008071899,0.0117415050897839,0.0978544503450393,0.3801770466666758,0.0243659913539886,74.32826004974547,5,456,2000,0.011741505089784015,0.1560961008071899
0.6484631597995758,1.0389163494110107,0.3652173707045065,0.1724352538585662,1.2903500381155637,1.0793472528457642,68.67422397025254,5,456,20000,0.36521737070450655,1.0389163494110107
0.6297336518764496,1.3304709196090698,0.4926286086882321,0.2021525502204895,1.2254285057443874,1.7701528072357178,66.37687578811479,5,456,43000,0.4926286086882321,1.3304709196090698
0.6356536448001862,1.2558369636535645,0.4575596204323773,0.1952711790800094,1.2339380915368212,1.577126383781433,66.99327411011986,5,456,37000,0.4575596204323773,1.2558369636535645
0.6750728487968445,0.9224976897239684,0.2997445463135015,0.1627776622772216,1.236509786971041,0.8510019779205322,69.67669963288589,5,456,16000,0.2997445463135015,0.9224976897239684
0.8919936046004295,0.2562136352062225,0.0276727111908445,0.1082509309053421,0.518635834807689,0.0656454190611839,74.55415855039638,5,456,3000,0.027672711190844572,0.2562136352062225
0.6425216495990753,1.0666515827178955,0.3813048482425287,0.1747043132781982,1.3013204857795575,1.1377456188201904,68.43911507781975,5,456,21000,0.38130484824252875,1.0666515827178955
0.6268621385097504,1.3306955099105835,0.4965328768627124,0.2014531642198562,1.2377971299651451,1.7707504034042358,66.294286552779,5,456,42000,0.4965328768627124,1.3306955099105835
0.7216036915779114,0.7413989901542664,0.2064027419268121,0.147845908999443,1.123263682446799,0.5496724247932434,71.23141838065997,5,456,11000,0.20640274192681218,0.7413989901542664
0.6454347968101501,1.1605618000030518,0.4114948304324599,0.1862720847129821,1.2385601744764556,1.346903681755066,67.84499050219651,5,456,30000,0.41149483043245993,1.1605618000030518
0.7644708603620529,0.6018233895301819,0.1417469451500368,0.1364595741033554,0.9960651436130828,0.362191379070282,72.38175670903878,5,456,8000,0.14174694515003683,0.6018233895301819
0.6324530243873596,1.3382275104522705,0.4918614741483651,0.2033250480890274,1.211726423281613,1.7908529043197632,66.24818129841613,5,456,45000,0.4918614741483651,1.3382275104522705
0.6321044564247131,1.3694883584976196,0.5038286640695091,0.206677570939064,1.199616725960004,1.875498414039612,65.97851424863421,5,456,49000,0.5038286640695091,1.3694883584976196
0.6523399353027344,1.0976712703704834,0.381616464873332,0.1801712661981582,1.2408840828501455,1.204882264137268,68.32958416100286,5,456,26000,0.381616464873332,1.0976712703704834
0.858428105711937,0.3441671729087829,0.0487243986204637,0.115632340312004,0.6565429567903356,0.1184510514140129,74.19366520794007,5,456,4000,0.04872439862046373,0.3441671729087829
0.7356356382369995,0.6949837803840637,0.1837289435368703,0.1441756188869476,1.0826812397080487,0.4830024540424347,71.63139741471574,5,456,10000,0.1837289435368703,0.6949837803840637
