ratio,seed,iter,BRC_star_adapted,WRC_star,collapse_score,direction_diversity,effective_rank,norm_variance,row_norm_std,sigma_weight,token_spread
10,456,19000,0.300735,0.213455,1.214696,0.677460,70.156945,0.869365,0.932398,0.932398,0.165531
15,42,35000,0.320261,0.226795,1.095564,0.692067,70.153934,1.081674,1.040035,1.040035,0.181073
6,123,17000,0.290512,0.210472,1.224653,0.678779,70.148616,0.817937,0.904399,0.904399,0.162296
15,42,42000,0.310753,0.242676,1.039376,0.703736,70.148147,1.100200,1.048904,1.048904,0.185040
12,456,22000,0.324486,0.214210,1.219734,0.670381,70.144234,0.969101,0.984429,0.984429,0.170238
2,456,16000,0.242296,0.223628,1.106768,0.712712,70.140555,0.711307,0.843390,0.843390,0.159574
9,456,24000,0.276634,0.221253,1.107341,0.702303,70.127278,0.863503,0.929249,0.929249,0.168839
15,42,41000,0.315163,0.239570,1.049997,0.700919,70.114940,1.110439,1.053774,1.053774,0.184839
15,42,37000,0.319601,0.230776,1.081776,0.694522,70.107920,1.094604,1.046233,1.046233,0.182385
1,123,14000,0.230657,0.222697,1.113129,0.715319,70.105981,0.656468,0.810227,0.810227,0.155749
7,456,20000,0.286528,0.217191,1.164989,0.689958,70.103540,0.854069,0.924158,0.924158,0.166133
15,42,38000,0.321956,0.232438,1.078362,0.694357,70.100799,1.109593,1.053372,1.053372,0.183433
1,456,16000,0.229903,0.228056,1.076855,0.720909,70.100198,0.678579,0.823759,0.823759,0.159172
5,42,13000,0.285537,0.212749,1.261443,0.674206,70.098961,0.768138,0.876435,0.876435,0.158271
15,42,36000,0.324646,0.228371,1.095546,0.690894,70.098125,1.103077,1.050275,1.050275,0.182148
3,123,15000,0.271153,0.215456,1.210693,0.687198,70.096153,0.751429,0.866850,0.866850,0.158366
15,42,40000,0.318605,0.237270,1.061185,0.698076,70.085458,1.113552,1.055250,1.055250,0.184516
4,42,12000,0.276757,0.218253,1.260135,0.677489,70.085425,0.736388,0.858130,0.858130,0.155934
12,42,27000,0.298091,0.220102,1.112576,0.694643,70.082484,0.952982,0.976208,0.976208,0.174459
15,42,39000,0.318240,0.234674,1.065948,0.697513,70.072225,1.106871,1.052080,1.052080,0.183772
12,42,23000,0.305803,0.215275,1.169672,0.683236,70.071791,0.931991,0.965397,0.965397,0.170815
12,42,26000,0.306257,0.218704,1.138710,0.687924,70.058026,0.963050,0.981351,0.981351,0.174061
5,123,16000,0.280823,0.211299,1.219955,0.682488,70.051078,0.782247,0.884447,0.884447,0.160265
15,42,43000,0.312589,0.245644,1.034034,0.704459,70.042026,1.118699,1.057686,1.057686,0.185814
15,456,25000,0.344296,0.217369,1.222170,0.664936,70.036950,1.055868,1.027554,1.027554,0.174155
4,456,15000,0.259248,0.215260,1.167738,0.697877,70.035514,0.736313,0.858087,0.858087,0.158725
10,42,21000,0.304410,0.214793,1.199438,0.678666,70.034646,0.897439,0.947333,0.947333,0.167904
2,42,12000,0.251420,0.227291,1.185218,0.697322,70.033510,0.689981,0.830651,0.830651,0.155377
