Model,CV_AUC_Mean,CV_AUC_Std,Bootstrap_AUC_Mean,Bootstrap_AUC_Std,Bootstrap_CI_Lower,Bootstrap_CI_Upper
Ratio Only,0.8064616439937498,0.12213278031750201,0.836325531852564,0.020075538025828628,0.7963930744199208,0.8715745534983342
ER Only,0.6150026191381421,0.11482552320311434,0.6175680736417466,0.030864481709701637,0.5567821281272397,0.6770328003125228
Ratio + ER + Interaction,0.8071832585701999,0.11184203246066744,0.8390879436650209,0.020532196453800534,0.7960907166778994,0.8779723869261616
