dimension_index,principal_angle_degrees,angle_category
0,89.17314910888672,extreme
1,75.5367202758789,extreme
2,69.74583435058594,large
3,67.78226470947266,large
4,66.73621368408203,large
5,65.1765365600586,large
6,59.09846115112305,large
7,57.73344802856445,large
8,54.93279266357422,large
9,54.51987838745117,large
10,46.63182067871094,large
11,42.71746826171875,moderate
12,42.36191940307617,moderate
13,40.939414978027344,moderate
14,39.00786590576172,moderate
15,36.50868606567383,moderate
16,32.73860168457031,moderate
17,32.33102035522461,moderate
18,30.80974578857422,moderate
19,29.04514503479004,moderate
20,26.460296630859375,moderate
21,26.20924186706543,moderate
22,25.026941299438477,moderate
23,23.86264419555664,moderate
24,22.001201629638672,moderate
25,18.54765510559082,small
26,16.92946434020996,small
27,14.415623664855957,small
28,9.052631503436714e-05,very_small
29,8.662594336783513e-05,very_small
30,8.354255987796932e-05,very_small
31,8.182593592209741e-05,very_small
32,7.817323785275221e-05,very_small
33,7.711396756349131e-05,very_small
34,7.432728307321668e-05,very_small
35,7.360431482084095e-05,very_small
36,7.287752669071779e-05,very_small
37,6.916166603332385e-05,very_small
38,6.768359889974818e-05,very_small
39,6.654160824837163e-05,very_small
40,6.552205741172656e-05,very_small
41,6.340903200907633e-05,very_small
42,6.321662658592686e-05,very_small
43,6.051107993698679e-05,very_small
44,5.8691937738331035e-05,very_small
45,5.692959894076921e-05,very_small
46,5.496810990734957e-05,very_small
47,5.4139873100211844e-05,very_small
48,5.1826478738803416e-05,very_small
49,5.118473927723244e-05,very_small
50,4.9427300837123767e-05,very_small
51,4.8583082389086485e-05,very_small
52,4.703653394244611e-05,very_small
53,4.5770382712362334e-05,very_small
54,4.5047549065202475e-05,very_small
55,4.4047490519005805e-05,very_small
56,4.299941792851314e-05,very_small
57,4.1946666897274554e-05,very_small
58,4.040163548779674e-05,very_small
59,4.008636096841656e-05,very_small
60,3.891878805006854e-05,very_small
61,3.8097066862974316e-05,very_small
62,3.7513997085625306e-05,very_small
63,3.516356082400307e-05,very_small
64,3.4308963222429156e-05,very_small
65,3.410429781069979e-05,very_small
66,3.3276144677074626e-05,very_small
67,3.2101248507387936e-05,very_small
68,3.1674542697146535e-05,very_small
69,3.133718928438611e-05,very_small
70,2.97480419249041e-05,very_small
71,2.8318923796177842e-05,very_small
72,2.7939338906435296e-05,very_small
73,2.7458901968202554e-05,very_small
74,2.5913570425473154e-05,very_small
75,2.460260657244362e-05,very_small
76,2.4194176148739643e-05,very_small
77,2.285667505930178e-05,very_small
78,2.1749616280430928e-05,very_small
79,2.0489984308369458e-05,very_small
80,1.9603357941377908e-05,very_small
81,0.0,
82,0.0,
83,0.0,
84,0.0,
85,0.0,
86,0.0,
87,0.0,
88,0.0,
89,0.0,
90,0.0,
91,0.0,
