dimension_index,principal_angle_degrees,angle_category
0,87.04805755615234,extreme
1,80.50456237792969,extreme
2,72.64043426513672,extreme
3,70.89573669433594,extreme
4,67.49916076660156,large
5,61.03089141845703,large
6,59.60483932495117,large
7,58.49151611328125,large
8,55.998287200927734,large
9,54.1483039855957,large
10,46.55978775024414,large
11,43.355712890625,moderate
12,42.117820739746094,moderate
13,40.54175567626953,moderate
14,38.13333511352539,moderate
15,37.09497833251953,moderate
16,32.078399658203125,moderate
17,30.978567123413086,moderate
18,29.64134979248047,moderate
19,26.75939178466797,moderate
20,25.390579223632812,moderate
21,22.90010643005371,moderate
22,22.173519134521484,moderate
23,21.580991744995117,moderate
24,20.63508415222168,moderate
25,19.705591201782227,small
26,17.98820686340332,small
27,14.734493255615234,small
28,9.590775880496949e-05,very_small
29,9.392994252266362e-05,very_small
30,8.700924809090793e-05,very_small
31,7.977125642355531e-05,very_small
32,7.721241854596883e-05,very_small
33,7.5335061410442e-05,very_small
34,7.350011583184823e-05,very_small
35,7.178833766374737e-05,very_small
36,6.926791684236377e-05,very_small
37,6.773116911062971e-05,very_small
38,6.492498505394906e-05,very_small
39,6.190521526150405e-05,very_small
40,6.174600275699049e-05,very_small
41,6.019750071573071e-05,very_small
42,5.905902435188182e-05,very_small
43,5.773021257482469e-05,very_small
44,5.6333778047701344e-05,very_small
45,5.4335210734279826e-05,very_small
46,5.323826553649269e-05,very_small
47,5.123726077727042e-05,very_small
48,5.001483077649027e-05,very_small
49,4.908500341116451e-05,very_small
50,4.8418576625408605e-05,very_small
51,4.7024910600157455e-05,very_small
52,4.624006760423072e-05,very_small
53,4.465786332730204e-05,very_small
54,4.388426896184683e-05,very_small
55,4.3210136936977506e-05,very_small
56,4.248757613822818e-05,very_small
57,4.0467875805916265e-05,very_small
58,4.024844020023011e-05,very_small
59,3.950199607061222e-05,very_small
60,3.8620732084382325e-05,very_small
61,3.7643891118932515e-05,very_small
62,3.667122291517444e-05,very_small
63,3.585196100175381e-05,very_small
64,3.395061503397301e-05,very_small
65,3.382010254426859e-05,very_small
66,3.235241456422955e-05,very_small
67,3.106843360001221e-05,very_small
68,3.047769314434845e-05,very_small
69,2.9882381568313576e-05,very_small
70,2.8407745048752986e-05,very_small
71,2.680136458366178e-05,very_small
72,2.6624082238413393e-05,very_small
73,2.5806239136727527e-05,very_small
74,2.441804281261284e-05,very_small
75,2.336433135496918e-05,very_small
76,2.2530979549628682e-05,very_small
77,2.1686684704036452e-05,very_small
78,2.0778277757926844e-05,very_small
79,1.9651382899610326e-05,very_small
80,1.8488864952814765e-05,very_small
81,0.0,
82,0.0,
83,0.0,
84,0.0,
85,0.0,
86,0.0,
87,0.0,
88,0.0,
89,0.0,
90,0.0,
91,0.0,
