test_type,row_similarity,col_similarity,effective_new_dims,col_diff_rank,col_diff_frobenius,coverage_2in1,coverage_1in2,grassmann_distance,spectral_distance,er1,er2,er_diff,description,seed1,iter1,seed2,iter2,ratio,seed,iter_initial,iter_current,stage,iter_0,iter_20
forgetting,1.0000004,1.0000005,28,28,2.6970665,0.9209330222461903,0.9209330222461903,3.5275106,1.6236391,73.46823,64.44502,-9.023209,,,,,,0.0,123.0,3000.0,40000.0,,,
forgetting,1.0000004,1.0000005,28,28,2.8555589,0.9113671804543009,0.9113671804543009,3.6780362,1.6051295,73.46823,64.04747,-9.420761,,,,,,0.0,123.0,3000.0,50000.0,,,
forgetting,1.0000005,1.0000006,19,19,1.3586016,0.9799369778704006,0.9799369778704006,2.3632326,1.1746427,75.34297,73.05239,-2.2905807,,,,,,20.0,123.0,3000.0,10000.0,,,
forgetting,1.0000005,1.0000006,25,25,1.8473687,0.9629044022039601,0.9629047888138554,2.9351938,1.4949778,75.34297,70.391304,-4.951668,,,,,,20.0,123.0,3000.0,20000.0,,,
forgetting,1.0000004,1.0000005,26,26,2.1367738,0.95037174690044,0.95037174690044,3.271021,1.5158045,75.34297,69.713326,-5.6296463,,,,,,20.0,123.0,3000.0,30000.0,,,
forgetting,1.0000004,1.0000002,27,27,2.33302,0.9408370497369846,0.9408370497369846,3.5407338,1.5286354,75.34297,68.972015,-6.3709564,,,,,,20.0,123.0,3000.0,40000.0,,,
forgetting,1.0000004,1.0000005,28,28,2.4983053,0.9321571928063827,0.9321575701613241,3.6998978,1.6079651,75.34297,67.59934,-7.7436295,,,,,,20.0,123.0,3000.0,50000.0,,,
mixed_effect,1.0000005,1.0000006,28,28,3.000397,0.902147977756885,0.902147977756885,3.0452573,0.9136913,73.674934,73.84438,0.16944885,,,,,,,42.0,,,"Initial, ER≈73.5",3000.0,9000.0
mixed_effect,1.0000005,1.0000002,28,28,3.048512,0.8989846301159232,0.8989842628047068,3.2774293,1.1825768,73.46823,72.9329,-0.5353317,,,,,,,123.0,,,"Initial, ER≈73.5",3000.0,11000.0
mixed_effect,1.0000001,1.0000005,28,28,3.0065875,0.9017442076680416,0.9017438395189455,3.2159817,1.1108319,73.40958,72.99427,-0.4153061,,,,,,,456.0,,,"Initial, ER≈73.5",3000.0,10000.0
mixed_effect,1.0000005,1.0000006,28,28,3.220483,0.8872666042274773,0.8872660640421312,3.5610576,0.49574316,70.404396,69.138626,-1.26577,,,,,,,42.0,,,"Middle, ER≈69.0",9000.0,26000.0
mixed_effect,1.0000004,1.0000005,28,28,3.307597,0.8810849305432495,0.8810849305432495,3.4941037,0.3034886,69.98508,69.77505,-0.2100296,,,,,,,123.0,,,"Middle, ER≈69.0",14000.0,29000.0
mixed_effect,1.0000006,1.0000005,28,28,3.3645563,0.8769538197849405,0.8769540060041761,3.6835635,0.3869352,69.08869,69.21506,0.12636566,,,,,,,456.0,,,"Middle, ER≈69.0",19000.0,29000.0
mixed_effect,1.0000005,1.0000004,28,28,3.5543551,0.862679832083403,0.8626800167808959,4.142144,0.20390864,61.66891,68.5018,6.8328896,,,,,,,42.0,,,"Final, iter=50000",50000.0,50000.0
mixed_effect,1.0000004,1.0000006,28,28,3.581788,0.8605519666167374,0.8605523222112504,4.1763983,0.1331863,64.04747,67.59934,3.5518723,,,,,,,123.0,,,"Final, iter=50000",50000.0,50000.0
mixed_effect,1.0000005,1.0000006,28,28,3.598591,0.8592408744793283,0.8592407036151517,4.231601,0.1556532,63.976936,67.657555,3.6806183,,,,,,,456.0,,,"Final, iter=50000",50000.0,50000.0
